Numero de components conexes de un graf binomial conex de num_nodes 50 despres d'aplicanr percolacio per arestes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;50.000000
0.010000;48.300000
0.020000;46.300000
0.030000;45.900000
0.040000;45.100000
0.050000;41.500000
0.060000;40.600000
0.070000;38.600000
0.080000;39.400000
0.090000;36.500000
0.100000;35.900000
0.110000;33.600000
0.120000;31.900000
0.130000;29.000000
0.140000;29.600000
0.150000;27.600000
0.160000;26.200000
0.170000;23.400000
0.180000;23.700000
0.190000;24.400000
0.200000;20.600000
0.210000;17.300000
0.220000;17.700000
0.230000;17.200000
0.240000;14.600000
0.250000;14.900000
0.260000;14.000000
0.270000;14.100000
0.280000;12.200000
0.290000;11.600000
0.300000;12.400000
0.310000;11.900000
0.320000;10.700000
0.330000;9.500000
0.340000;9.100000
0.350000;9.900000
0.360000;7.200000
0.370000;8.900000
0.380000;9.400000
0.390000;7.400000
0.400000;8.000000
0.410000;6.900000
0.420000;6.000000
0.430000;6.900000
0.440000;6.000000
0.450000;5.700000
0.460000;5.400000
0.470000;5.600000
0.480000;5.700000
0.490000;4.600000
0.500000;4.300000
0.510000;4.100000
0.520000;4.000000
0.530000;3.900000
0.540000;4.100000
0.550000;3.000000
0.560000;2.600000
0.570000;3.700000
0.580000;2.900000
0.590000;4.400000
0.600000;3.600000
0.610000;3.200000
0.620000;2.800000
0.630000;3.300000
0.640000;3.100000
0.650000;2.800000
0.660000;1.700000
0.670000;2.500000
0.680000;2.600000
0.690000;2.000000
0.700000;2.600000
0.710000;1.700000
0.720000;1.700000
0.730000;1.600000
0.740000;2.700000
0.750000;2.100000
0.760000;1.800000
0.770000;1.100000
0.780000;2.100000
0.790000;2.200000
0.800000;1.100000
0.810000;1.600000
0.820000;1.300000
0.830000;1.500000
0.840000;1.400000
0.850000;1.400000
0.860000;1.200000
0.870000;1.200000
0.880000;1.100000
0.890000;1.300000
0.900000;1.000000
0.910000;1.100000
0.920000;1.300000
0.930000;1.000000
0.940000;1.000000
0.950000;1.100000
0.960000;1.200000
0.970000;1.000000
0.980000;1.100000
0.990000;1.000000
