Numero de components conexes de un graf binomial conex de num_nodes 200 despres d'aplicanr percolacio per arestes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;199.900000
0.010000;192.900000
0.020000;184.700000
0.030000;177.400000
0.040000;170.700000
0.050000;161.300000
0.060000;154.900000
0.070000;147.100000
0.080000;137.200000
0.090000;126.000000
0.100000;123.000000
0.110000;114.600000
0.120000;108.800000
0.130000;100.100000
0.140000;92.600000
0.150000;87.900000
0.160000;79.600000
0.170000;78.200000
0.180000;67.100000
0.190000;59.800000
0.200000;54.500000
0.210000;50.700000
0.220000;45.600000
0.230000;43.900000
0.240000;42.800000
0.250000;35.000000
0.260000;34.100000
0.270000;31.500000
0.280000;27.000000
0.290000;29.500000
0.300000;26.100000
0.310000;25.800000
0.320000;22.800000
0.330000;23.000000
0.340000;20.200000
0.350000;20.800000
0.360000;18.300000
0.370000;18.400000
0.380000;14.500000
0.390000;14.100000
0.400000;14.200000
0.410000;14.500000
0.420000;11.700000
0.430000;11.900000
0.440000;11.100000
0.450000;8.700000
0.460000;10.300000
0.470000;9.500000
0.480000;9.700000
0.490000;8.800000
0.500000;7.400000
0.510000;8.200000
0.520000;6.900000
0.530000;7.300000
0.540000;5.600000
0.550000;6.400000
0.560000;5.800000
0.570000;4.800000
0.580000;4.300000
0.590000;5.000000
0.600000;4.200000
0.610000;5.200000
0.620000;4.000000
0.630000;3.600000
0.640000;3.400000
0.650000;3.000000
0.660000;3.600000
0.670000;2.800000
0.680000;2.800000
0.690000;2.400000
0.700000;2.700000
0.710000;2.500000
0.720000;2.200000
0.730000;1.800000
0.740000;2.300000
0.750000;2.200000
0.760000;2.400000
0.770000;1.500000
0.780000;1.900000
0.790000;1.700000
0.800000;1.400000
0.810000;1.200000
0.820000;1.700000
0.830000;1.800000
0.840000;1.400000
0.850000;1.800000
0.860000;1.400000
0.870000;1.300000
0.880000;1.300000
0.890000;1.300000
0.900000;1.400000
0.910000;1.200000
0.920000;1.000000
0.930000;1.200000
0.940000;1.200000
0.950000;1.000000
0.960000;1.400000
0.970000;1.000000
0.980000;1.100000
0.990000;1.000000
