Numero de components conexes de un graf binomial conex de num_nodes 25 despres d'aplicanr percolacio per arestes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;25.000000
0.010000;24.500000
0.020000;23.800000
0.030000;23.900000
0.040000;20.900000
0.050000;21.000000
0.060000;20.700000
0.070000;19.300000
0.080000;18.900000
0.090000;19.000000
0.100000;18.600000
0.110000;17.000000
0.120000;17.500000
0.130000;16.200000
0.140000;14.300000
0.150000;13.100000
0.160000;11.700000
0.170000;15.000000
0.180000;12.600000
0.190000;11.500000
0.200000;11.800000
0.210000;10.900000
0.220000;9.600000
0.230000;9.200000
0.240000;7.200000
0.250000;8.100000
0.260000;5.900000
0.270000;7.800000
0.280000;6.600000
0.290000;7.200000
0.300000;6.200000
0.310000;5.900000
0.320000;6.900000
0.330000;5.700000
0.340000;5.500000
0.350000;5.700000
0.360000;4.600000
0.370000;5.200000
0.380000;4.800000
0.390000;4.100000
0.400000;4.200000
0.410000;3.800000
0.420000;4.100000
0.430000;3.200000
0.440000;4.100000
0.450000;4.000000
0.460000;3.000000
0.470000;2.900000
0.480000;3.300000
0.490000;2.400000
0.500000;2.300000
0.510000;2.700000
0.520000;3.000000
0.530000;2.400000
0.540000;2.300000
0.550000;3.000000
0.560000;2.500000
0.570000;1.700000
0.580000;1.500000
0.590000;1.900000
0.600000;1.800000
0.610000;2.100000
0.620000;2.000000
0.630000;2.400000
0.640000;1.400000
0.650000;1.400000
0.660000;1.800000
0.670000;1.500000
0.680000;1.400000
0.690000;1.500000
0.700000;1.400000
0.710000;1.500000
0.720000;2.000000
0.730000;1.500000
0.740000;1.400000
0.750000;1.500000
0.760000;1.200000
0.770000;1.600000
0.780000;1.200000
0.790000;1.000000
0.800000;1.600000
0.810000;1.200000
0.820000;1.300000
0.830000;1.000000
0.840000;1.200000
0.850000;1.100000
0.860000;1.100000
0.870000;1.100000
0.880000;1.400000
0.890000;1.000000
0.900000;1.100000
0.910000;1.100000
0.920000;1.100000
0.930000;1.000000
0.940000;1.000000
0.950000;1.000000
0.960000;1.200000
0.970000;1.100000
0.980000;1.000000
0.990000;1.000000
