Numero de components conexes de un graf binomial conex de num_nodes 100 despres d'aplicanr percolacio per arestes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;99.900000
0.010000;96.700000
0.020000;92.700000
0.030000;91.300000
0.040000;87.100000
0.050000;84.100000
0.060000;82.300000
0.070000;76.400000
0.080000;79.300000
0.090000;73.000000
0.100000;70.400000
0.110000;69.400000
0.120000;63.600000
0.130000;59.900000
0.140000;56.500000
0.150000;52.500000
0.160000;50.500000
0.170000;49.400000
0.180000;44.900000
0.190000;47.900000
0.200000;41.000000
0.210000;35.300000
0.220000;31.900000
0.230000;31.200000
0.240000;29.900000
0.250000;29.000000
0.260000;28.400000
0.270000;24.900000
0.280000;24.100000
0.290000;25.800000
0.300000;19.700000
0.310000;20.900000
0.320000;21.700000
0.330000;18.600000
0.340000;17.300000
0.350000;19.400000
0.360000;17.100000
0.370000;17.000000
0.380000;16.100000
0.390000;12.900000
0.400000;12.500000
0.410000;12.400000
0.420000;13.000000
0.430000;11.800000
0.440000;10.000000
0.450000;11.300000
0.460000;9.900000
0.470000;9.300000
0.480000;8.500000
0.490000;8.100000
0.500000;8.400000
0.510000;6.800000
0.520000;6.600000
0.530000;6.900000
0.540000;5.100000
0.550000;6.100000
0.560000;6.100000
0.570000;6.500000
0.580000;5.100000
0.590000;5.400000
0.600000;5.500000
0.610000;5.600000
0.620000;5.700000
0.630000;4.800000
0.640000;3.500000
0.650000;3.800000
0.660000;4.400000
0.670000;4.200000
0.680000;3.400000
0.690000;3.900000
0.700000;3.100000
0.710000;3.200000
0.720000;2.700000
0.730000;2.800000
0.740000;2.800000
0.750000;2.300000
0.760000;2.600000
0.770000;1.900000
0.780000;2.700000
0.790000;2.200000
0.800000;2.400000
0.810000;1.800000
0.820000;2.500000
0.830000;2.100000
0.840000;1.400000
0.850000;1.800000
0.860000;2.100000
0.870000;1.600000
0.880000;1.600000
0.890000;1.500000
0.900000;1.600000
0.910000;1.400000
0.920000;1.000000
0.930000;1.200000
0.940000;1.200000
0.950000;1.100000
0.960000;1.300000
0.970000;1.000000
0.980000;1.000000
0.990000;1.100000
