Numero de components conexes de un graf binomial conex de num_nodes 100 despres d'aplicanr percolacio per nodes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;0.000000
0.010000;0.900000
0.020000;2.100000
0.030000;2.300000
0.040000;4.100000
0.050000;4.500000
0.060000;5.100000
0.070000;5.700000
0.080000;7.100000
0.090000;8.500000
0.100000;7.900000
0.110000;8.600000
0.120000;9.300000
0.130000;11.200000
0.140000;10.900000
0.150000;10.200000
0.160000;11.000000
0.170000;10.800000
0.180000;9.200000
0.190000;11.600000
0.200000;10.400000
0.210000;11.000000
0.220000;9.500000
0.230000;9.900000
0.240000;10.200000
0.250000;8.900000
0.260000;8.600000
0.270000;9.500000
0.280000;9.500000
0.290000;10.200000
0.300000;7.900000
0.310000;7.800000
0.320000;9.000000
0.330000;8.900000
0.340000;7.100000
0.350000;7.300000
0.360000;6.400000
0.370000;8.900000
0.380000;7.000000
0.390000;6.700000
0.400000;6.800000
0.410000;5.200000
0.420000;6.500000
0.430000;5.500000
0.440000;6.200000
0.450000;6.600000
0.460000;5.500000
0.470000;5.200000
0.480000;4.700000
0.490000;5.100000
0.500000;5.500000
0.510000;3.500000
0.520000;3.800000
0.530000;4.500000
0.540000;3.900000
0.550000;3.500000
0.560000;3.800000
0.570000;3.700000
0.580000;3.700000
0.590000;3.800000
0.600000;2.500000
0.610000;3.500000
0.620000;2.900000
0.630000;3.400000
0.640000;3.000000
0.650000;3.200000
0.660000;1.800000
0.670000;2.400000
0.680000;2.100000
0.690000;2.400000
0.700000;2.200000
0.710000;2.000000
0.720000;1.400000
0.730000;2.100000
0.740000;3.000000
0.750000;2.100000
0.760000;2.500000
0.770000;2.300000
0.780000;2.000000
0.790000;2.100000
0.800000;2.100000
0.810000;1.600000
0.820000;1.700000
0.830000;1.400000
0.840000;1.700000
0.850000;1.400000
0.860000;1.300000
0.870000;1.600000
0.880000;1.200000
0.890000;1.300000
0.900000;1.600000
0.910000;1.400000
0.920000;1.200000
0.930000;1.600000
0.940000;1.400000
0.950000;1.200000
0.960000;1.000000
0.970000;1.000000
0.980000;1.100000
0.990000;1.000000
