Numero de components conexes de un graf binomial conex de num_nodes 200 despres d'aplicanr percolacio per nodes amb probabilitat PROB_PERC
PROB_PERC;NUM_CC(mitjana)
0.000000;0.100000
0.010000;2.400000
0.020000;4.300000
0.030000;6.100000
0.040000;8.800000
0.050000;9.600000
0.060000;10.700000
0.070000;12.900000
0.080000;15.000000
0.090000;15.000000
0.100000;15.700000
0.110000;15.600000
0.120000;15.700000
0.130000;16.900000
0.140000;15.500000
0.150000;17.000000
0.160000;18.200000
0.170000;17.300000
0.180000;16.800000
0.190000;16.200000
0.200000;17.200000
0.210000;12.900000
0.220000;15.300000
0.230000;14.800000
0.240000;14.700000
0.250000;13.400000
0.260000;12.200000
0.270000;12.700000
0.280000;11.400000
0.290000;10.200000
0.300000;12.500000
0.310000;12.200000
0.320000;10.200000
0.330000;10.500000
0.340000;8.900000
0.350000;8.800000
0.360000;9.900000
0.370000;7.700000
0.380000;8.400000
0.390000;7.300000
0.400000;8.000000
0.410000;6.500000
0.420000;7.700000
0.430000;6.700000
0.440000;6.100000
0.450000;6.400000
0.460000;5.400000
0.470000;6.600000
0.480000;4.700000
0.490000;5.300000
0.500000;5.700000
0.510000;5.100000
0.520000;3.500000
0.530000;5.500000
0.540000;3.300000
0.550000;4.700000
0.560000;3.800000
0.570000;3.500000
0.580000;3.500000
0.590000;3.800000
0.600000;2.700000
0.610000;3.000000
0.620000;4.300000
0.630000;3.600000
0.640000;2.400000
0.650000;2.300000
0.660000;2.300000
0.670000;2.000000
0.680000;2.100000
0.690000;2.700000
0.700000;3.900000
0.710000;2.700000
0.720000;2.800000
0.730000;2.000000
0.740000;1.800000
0.750000;1.700000
0.760000;2.200000
0.770000;2.000000
0.780000;2.100000
0.790000;2.100000
0.800000;2.300000
0.810000;1.700000
0.820000;1.300000
0.830000;1.800000
0.840000;1.600000
0.850000;1.400000
0.860000;1.500000
0.870000;1.800000
0.880000;1.700000
0.890000;1.300000
0.900000;1.100000
0.910000;1.100000
0.920000;1.300000
0.930000;1.100000
0.940000;1.200000
0.950000;1.000000
0.960000;1.300000
0.970000;1.000000
0.980000;1.100000
0.990000;1.000000
